País,data science,machine learning,deep learning,geometry,Latitude,Longitude
Santa Elena,100.0,100.0,52.0,POINT (-12.4870384875 -37.2465),-37.2465,-12.4870384875
India,99.0,77.0,25.0,POINT (78.6677428 22.3511148),22.3511148,78.6677428
Singapur,91.0,79.0,52.0,POINT (103.8194992 1.357107),1.357107,103.8194992
Nigeria,72.0,25.0,8.0,POINT (7.9999721 9.6000359),9.6000359,7.9999721
Pakistán,56.0,38.0,17.0,POINT (71.247499 30.3308401),30.3308401,71.247499
Hong Kong,48.0,49.0,39.0,POINT (114.1628131 22.2793278),22.2793278,114.1628131
Estados Unidos,48.0,30.0,15.0,POINT (-100.445882 39.7837304),39.7837304,-100.445882
Sudáfrica,42.0,21.0,9.0,POINT (24.991639 -28.8166236),-28.8166236,24.991639
Australia,38.0,22.0,12.0,POINT (134.755 -24.7761086),-24.7761086,134.755
Bangladés,37.0,39.0,15.0,POINT (90.2934413 24.4769288),24.4769288,90.2934413
Sri Lanka,36.0,36.0,12.0,POINT (80.7137847 7.5554942),7.5554942,80.7137847
Emiratos Árabes Unidos,36.0,20.0,9.0,POINT (53.9994829 24.0002488),24.0002488,53.9994829
Irlanda,35.0,31.0,13.0,POINT (-7.9794599 52.865196),52.865196,-7.9794599
Filipinas,34.0,14.0,6.0,POINT (122.7312101 12.7503486),12.7503486,122.7312101
Canadá,32.0,28.0,15.0,POINT (-107.991707 61.0666922),61.0666922,-107.991707
Reino Unido,30.0,22.0,10.0,POINT (-3.2765753 54.7023545),54.7023545,-3.2765753
Malasia,30.0,20.0,12.0,POINT (102.2656823 4.5693754),4.5693754,102.2656823
Suiza,28.0,32.0,20.0,POINT (8.2319736 46.7985624),46.7985624,8.2319736
Países Bajos,27.0,20.0,11.0,POINT (5.541246849406163 52.24764975),52.24764975,5.541246849406163
Túnez,27.0,27.0,22.0,POINT (9.400138 33.8439408),33.8439408,9.400138
Corea del Sur,25.0,58.0,100.0,POINT (127.6961188 36.638392),36.638392,127.6961188
Nueva Zelanda,25.0,20.0,10.0,POINT (172.8344077 -41.5000831),-41.5000831,172.8344077
Israel,20.0,35.0,31.0,POINT (34.8594762 30.8124247),30.8124247,34.8594762
Portugal,17.0,18.0,8.0,POINT (-8.1353519 39.6621648),39.6621648,-8.1353519
Grecia,17.0,17.0,8.0,POINT (21.9877132 38.9953683),38.9953683,21.9877132
Serbia,16.0,12.0,5.0,POINT (20.55144 44.1534121),44.1534121,20.55144
Dinamarca,15.0,23.0,10.0,POINT (10.3333283 55.670249),55.670249,10.3333283
Austria,15.0,16.0,11.0,POINT (14.12456 47.59397),47.59397,14.12456
Alemania,15.0,18.0,13.0,POINT (10.4478313 51.1638175),51.1638175,10.4478313
Noruega,15.0,24.0,13.0,POINT (8.7876653 61.1529386),61.1529386,8.7876653
Marruecos,14.0,13.0,9.0,POINT (-7.3362482 31.1728205),31.1728205,-7.3362482
Bélgica,14.0,15.0,10.0,POINT (4.6667145 50.6402809),50.6402809,4.6667145
Egipto,14.0,16.0,9.0,POINT (29.2675469 26.2540493),26.2540493,29.2675469
Tailandia,13.0,10.0,5.0,POINT (100.83273 14.8971921),14.8971921,100.83273
Taiwán,13.0,26.0,34.0,POINT (120.9820179 23.9739374),23.9739374,120.9820179
Finlandia,12.0,20.0,10.0,POINT (25.9209164 63.2467777),63.2467777,25.9209164
Suecia,12.0,23.0,13.0,POINT (14.5208584 59.6749712),59.6749712,14.5208584
Irán,12.0,17.0,15.0,POINT (54.5643516 32.6475314),32.6475314,54.5643516
Arabia Saudí,12.0,9.0,5.0,POINT (42.3528328 25.6242618),25.6242618,42.3528328
Chile,11.0,10.0,4.0,POINT (-71.3187697 -31.7613365),-31.7613365,-71.3187697
Francia,11.0,12.0,10.0,POINT (1.8883335 46.603354),46.603354,1.8883335
Indonesia,10.0,8.0,4.0,POINT (117.8902853 -2.4833826),-2.4833826,117.8902853
China,10.0,27.0,36.0,POINT (104.999927 35.000074),35.000074,104.999927
España,10.0,11.0,6.0,POINT (-4.8379791 39.3260685),39.3260685,-4.8379791
Italia,9.0,10.0,5.0,POINT (12.674297 42.6384261),42.6384261,12.674297
Vietnam,9.0,13.0,7.0,POINT (107.9650855 15.9266657),15.9266657,107.9650855
Brasil,9.0,7.0,3.0,POINT (-53.2 -10.3333333),-10.3333333,-53.2
Rusia,9.0,8.0,5.0,POINT (97.7453061 64.6863136),64.6863136,97.7453061
Ucrania,9.0,7.0,3.0,POINT (31.2718321 49.4871968),49.4871968,31.2718321
Perú,8.0,10.0,3.0,POINT (-75.0458515 -6.8699697),-6.8699697,-75.0458515
Chequia,8.0,13.0,7.0,POINT (15.3381061 49.7439047),49.7439047,15.3381061
Polonia,8.0,8.0,5.0,POINT (19.134422 52.215933),52.215933,19.134422
Hungría,8.0,8.0,7.0,POINT (19.5060937 47.1817585),47.1817585,19.5060937
Colombia,7.0,10.0,4.0,POINT (-72.9088133 4.099917),4.099917,-72.9088133
México,6.0,6.0,2.0,POINT (-102.0077097 23.6585116),23.6585116,-102.0077097
Argentina,6.0,6.0,2.0,POINT (-64.9672817 -34.9964963),-34.9964963,-64.9672817
Rumanía,6.0,11.0,5.0,POINT (24.6859225 45.9852129),45.9852129,24.6859225
Turquía,4.0,6.0,5.0,POINT (34.9249653 38.9597594),38.9597594,34.9249653
Japón,3.0,6.0,16.0,POINT (139.2394179 36.5748441),36.5748441,139.2394179
